start,Beacon,data
START,,
,4,75
START,,
START,,
,4,77
,4,73
,2,85
,2,255
,1,72
,1,255
,3,86
START,,
,3,87
,4,69
,2,90
,3,82
,1,73
START,,
,4,75
,2,88
,1,73
,3,83
START,,
,2,86
,1,75
START,,
,4,80
,4,255
,2,84
,1,71
START,,
,2,86
,1,68
,3,88
,4,64
START,,
,4,78
,2,83
,3,54
START,,
,2,86
,1,65
START,,
,4,78
,2,86
,1,76
,3,83
START,,
,4,78
,2,85
,3,81
,1,76
START,,
,4,70
,2,86
,1,65
,3,86
START,,
,4,70
,2,88
,1,64
,3,84
START,,
,4,70
,2,86
,1,66
,3,88
START,,
,4,68
,2,85
,1,67
,3,90
START,,
,4,69
,2,86
,1,71
,3,85
START,,
,2,88
,1,72
,3,87
,4,69
