start,Beacon,data
START,,
,4,49
,3,48
,2,70
START,,
,4,53
,3,43
,2,66
START,,
,4,45
,2,65
,3,41
,1,101
START,,
,1,103
,4,44
,2,68
,3,44
START,,
,4,36
,3,44
,2,67
,1,101
START,,
,1,101
,4,51
,3,55
,2,67
START,,
,4,43
,3,48
,2,75
,1,99
START,,
,4,46
,3,38
,2,66
START,,
,1,102
,4,45
,3,45
,2,72
START,,
,1,101
,3,46
,2,77
,4,36
START,,
,4,52
,3,48
,1,100
,2,79
START,,
,4,46
,3,40
,2,72
,1,99
START,,
,4,39
,3,45
,2,77
,1,98
START,,
,4,37
,3,45
,2,72
,1,99
START,,
,1,100
,4,42
,3,48
,2,73
START,,
,4,49
,3,49
,2,83
,1,98
